province,division,year,population
Nova Scotia,Richmond,2006,9740
Quebec,Les Moulins,2006,128467
New Brunswick,Kent,2001,31383
Ontario,Perth,2001,73675
Saskatchewan,Division No. 16,2001,37663
Quebec,Lac-Saint-Jean-Est,2006,51170
Manitoba,Division No. 17,2006,22358
Ontario,Nipissing,2001,82910
Quebec,Les Appalaches,2006,43390
Ontario,Lennox and Addington,2001,39461
Quebec,Roussillon,2001,138172
Quebec,Pontiac,2006,14586
Quebec,Les Etchemins,2001,17745
Alberta,Division No.  9,2011,21290
Quebec,Les �les-de-la-Madeleine,2001,12824
Quebec,Lajemmerais,2006,69881
Quebec,Gatineau,2006,242124
Manitoba,Division No. 23,2006,8252
Manitoba,Division No.  7,2011,64317
Alberta,Division No.  2,2006,142429
Manitoba,Division No. 10,2006,9902
Ontario,Wellington,2011,208360
Ontario,Lanark,2001,62495
Quebec,Riviere-du-Loup,2011,34375
Ontario,Huron,2011,59100
Quebec,Manicouagan,2001,33620
Ontario,Toronto,2006,2503281
Quebec,Francheville,2001,139577
Quebec,La Vallee-de-la-Gatineau,2011,20530
Ontario,Timiskaming,2011,32634
Quebec,Nicolet-Yamaska,2006,23007
Ontario,Cochrane,2006,82503
Manitoba,Division No.  5,2006,13301
Alberta,Division No.  2,2001,133913
Quebec,Lotbiniere,2006,27425
Quebec,Pontiac,2001,14565
Quebec,Le Domaine-du-Roy,2006,31956
Alberta,Division No.  8,2011,189243
Quebec,Lajemmerais,2001,64010
Northwest Territories,Region 5,2006,6958
Ontario,Middlesex,2011,439151
Manitoba,Division No. 21,2011,21393
British Columbia,Powell River,2001,19765
Alberta,Division No. 13,2006,66972
Ontario,Greater Sudbury / Grand Sudbury,2011,160376
Manitoba,Division No.  6,2006,9814
Ontario,Prince Edward,2011,25258
British Columbia,Okanagan-Similkameen,2006,79475
Quebec,Laval,2001,343005
Ontario,Brant,2001,118485
Ontario,Niagara,2001,410574
Manitoba,Division No. 14,2006,18118
Quebec,Le Domaine-du-Roy,2011,31870
New Brunswick,Westmorland,2011,144158
Ontario,Perth,2006,74344
Northwest Territories,Region 5,2011,6907
Quebec,La Nouvelle-Beauce,2001,30707
Manitoba,Division No. 11,2011,666832
Ontario,Frontenac,2006,143865
Quebec,Mirabel,2006,34626
Quebec,Joliette,2006,58369
Quebec,Joliette,2011,63551
Saskatchewan,Division No.  5,2001,32492
British Columbia,Thompson-Nicola,2006,122286
Nova Scotia,Hants,2001,40513
Quebec,Memphremagog,2011,48551
Quebec,Becancour,2006,18806
British Columbia,Cariboo,2006,62190
Quebec,Gatineau,2001,226696
Nunavut,Keewatin,2001,7557
Quebec,Le Domaine-du-Roy,2001,32839
Quebec,Les Etchemins,2006,17599
Quebec,Les Jardins-de-Napierville,2001,22820
Alberta,Division No. 10,2006,86796
Alberta,Division No. 19,2011,109712
Northwest Territories,Region 1,2011,6712
Quebec,Matane,2006,22247
Ontario,Simcoe,2011,446063
British Columbia,Northern Rockies,2001,5720
Quebec,Lotbiniere,2011,29617
British Columbia,Cowichan Valley,2006,76929
Northwest Territories,Region 2,2011,2341
Quebec,Laval,2006,368709
New Brunswick,Kings,2001,64208
Quebec,Brome-Missisquoi,2001,46165
British Columbia,Northern Rockies,2006,6147
Ontario,Halton,2001,375229
Ontario,Dufferin,2011,56881
Manitoba,Division No.  2,2001,50869
Manitoba,Division No.  5,2011,12922
Quebec,Rouville,2001,29980
Saskatchewan,Division No. 17,2001,39587
Alberta,Division No. 13,2011,68919
New Brunswick,Charlotte,2001,27366
Quebec,Levis,2011,138769
British Columbia,Fraser Valley,2011,277593
New Brunswick,York,2006,90026
New Brunswick,Sunbury,2001,25776
Saskatchewan,Division No. 15,2006,79018
British Columbia,Peace River,2001,55080
Quebec,Portneuf,2001,44950
Saskatchewan,Division No.  1,2011,31333
Nova Scotia,Colchester,2006,50023
Ontario,Toronto,2001,2481494
Quebec,La Tuque,2001,15862
Quebec,Shawinigan,2006,51904
Quebec,Brome-Missisquoi,2011,55621
Alberta,Division No.  7,2011,40232
Quebec,Temiscouata,2006,21785
Quebec,Acton,2001,15167
Alberta,Division No.  5,2011,53263
Ontario,Lennox and Addington,2006,40542
Quebec,L'Assomption,2006,109621
Ontario,Hamilton,2006,504559
Quebec,Coaticook,2006,18467
Nova Scotia,Queens,2011,10960
Manitoba,Division No. 23,2011,8590
Saskatchewan,Division No.  7,2006,45532
Saskatchewan,Division No.  9,2006,34736
Ontario,Lambton,2006,128204
Newfoundland and Labrador,Division No.  5,2006,40805
British Columbia,Central Coast,2006,3189
Quebec,D'Autray,2006,40321
Ontario,Haliburton,2001,15085
Saskatchewan,Division No.  8,2006,29199
Ontario,Haliburton,2006,16147
New Brunswick,Madawaska,2001,35611
Alberta,Division No. 17,2001,57508
Ontario,Wellington,2001,187313
Nova Scotia,Hants,2006,41182
Alberta,Division No. 18,2011,14534
Nunavut,Kitikmeot,2001,4816
Quebec,Drummond,2006,92982
Northwest Territories,Region 6,2011,19444
Alberta,Division No. 11,2001,975477
Nova Scotia,Lunenburg,2001,47591
Quebec,Abitibi,2001,24613
Alberta,Division No.  2,2011,156536
Ontario,Essex,2006,393402
Ontario,Bruce,2011,66102
Nova Scotia,Inverness,2011,17947
Quebec,Rimouski-Neigette,2011,55095
Quebec,La Matapedia,2001,19920
Quebec,Les Sources,2006,14466
Saskatchewan,Division No.  2,2011,22266
Ontario,Leeds and Grenville,2001,96606
Ontario,Kawartha Lakes,2006,74561
New Brunswick,Carleton,2011,27019
Quebec,Les �les-de-la-Madeleine,2006,13091
Newfoundland and Labrador,Division No.  3,2006,17686
Quebec,Matane,2011,21786
British Columbia,Central Coast,2011,3206
Ontario,Ottawa,2001,774072
Alberta,Division No. 17,2006,59282
Quebec,Rimouski-Neigette,2006,53193
Ontario,Haliburton,2011,17026
Saskatchewan,Division No. 12,2011,23228
Ontario,Rainy River,2001,22109
Nova Scotia,Victoria,2006,7594
Quebec,La Haute-Gaspesie,2011,12088
Northwest Territories,Region 1,2006,6718
Quebec,Becancour,2011,20081
Saskatchewan,Division No. 13,2006,22342
Manitoba,Division No.  6,2001,10110
Quebec,Deux-Montagnes,2006,87264
British Columbia,Thompson-Nicola,2011,128473
Alberta,Division No.  8,2006,175337
Quebec,Joliette,2001,54157
Quebec,La C�te-de-Gaspe,2001,18545
Quebec,Sherbrooke,2006,147427
Quebec,Bonaventure,2001,18267
Quebec,Sherbrooke,2011,154601
Quebec,Les Maskoutains,2011,84248
Quebec,D'Autray,2011,41650
Quebec,Charlevoix,2006,13190
Ontario,Oxford,2011,105719
New Brunswick,Gloucester,2011,77792
Ontario,Huron,2001,59701
Quebec,Rouville,2006,31365
Ontario,Haldimand-Norfolk,2001,104670
Newfoundland and Labrador,Division No.  3,2001,19370
Nova Scotia,Antigonish,2001,19578
New Brunswick,Carleton,2006,26632
